Ticket;Setor de Atuação;Subsetor de Atuação;Segmento de Atuação
MCK;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
CMCSA;Comunicações;Mídia;Produção e Difusão de Filmes e Programas
SNPS;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
DASH;Bens Industriais;Serviços;Serviços Diversos
SBUX;Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares
CME;Financeiro e Outros;Intermediários Financeiros;Bancos
GD;Bens Industriais;Transporte;Transporte Hidroviário
MCO;Financeiro e Outros;Serviços Financeiros Diversos;Serviços Financeiros Diversos
SO;Utilidade Pública;Energia Elétrica;Energia Elétrica
NKE;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados
ICE;Financeiro e Outros;Intermediários Financeiros;Bancos
MO;Consumo não Cíclico;Agropecuária;Agricultura
DUK;Utilidade Pública;Energia Elétrica;Energia Elétrica
MMC;Financeiro e Outros;Previdência e Seguros;Seguradoras
UPS;Bens Industriais;Transporte;Logística
CDNS;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
WM;Utilidade Pública;Água e Saneamento;Água e Saneamento
MMM;Saúde;Equipamentos;Equipamentos
MAR;Consumo Cíclico;Hoteis e Restaurantes;Hotelaria
HWM;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
USB;Financeiro e Outros;Intermediários Financeiros;Bancos
NOC;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
PNC;Financeiro e Outros;Intermediários Financeiros;Bancos
APO;Financeiro e Outros;Serviços Financeiros Diversos;Gestão de Recursos e Investimentos
TT;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas
BK;Financeiro e Outros;Intermediários Financeiros;Bancos
REGN;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos
ABNB;Financeiro e Outros;Serviços Financeiros Diversos;Serviços Financeiros Diversos
SHW;Bens Industriais;Construção e Engenharia;Produtos para Construção
CRH;Bens Industriais;Construção e Engenharia;Produtos para Construção
RCL;Bens Industriais;Transporte;Transporte Hidroviário
ELV;Bens Industriais;Construção e Engenharia;Construção Pesada
EMR;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
DELL;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
FCX;Materiais Básicos;Mineração;Minerais Metálicos
TDG;Bens Industriais;Máquinas e Equipamentos;Armas e Munições
ORLY;Consumo não Cíclico;Diversos;Produtos Diversos
GM;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas
ECL;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal
CTAS;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados
GLW;Comunicações;Telecomunicações;Telecomunicações
AON;Financeiro e Outros;Previdência e Seguros;Seguradoras
CMI;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
CI;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos
WMB;Utilidade Pública;Gás;Gás
FDX;Bens Industriais;Transporte;Transporte Aéreo
ITW;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
WBD;Comunicações;Mídia;Produção e Difusão de Filmes e Programas
JCI;Consumo não Cíclico;Diversos;Produtos Diversos
HLT;Consumo Cíclico;Hoteis e Restaurantes;Hotelaria
WDC;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
TEL;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
STX;Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos
MDLZ;Consumo não Cíclico;Alimentos Processados;Alimentos Diversos
AJG;Financeiro e Outros;Previdência e Seguros;Seguradoras
CSX;Bens Industriais;Transporte;Transporte Ferroviário
COIN;Financeiro e Outros;Serviços Financeiros Diversos;Serviços Financeiros Diversos
PWR;Bens Industriais;Construção e Engenharia;Construção Pesada
